orderid,currentstate,quantity,price,stopprice,ioc,aon,quantityfilled,quantityonmarket,fillcost,buysell,orderbookid
46228749,submitted,0.03922883,7155.23,,,,,,,1,1
46228750,submitted,0.04197282,7161.56,,,,,,,1,1
46228751,submitted,1,7161.67,,,,,,,1,1
46228752,submitted,2.7,7161.72,,,,,,,1,1
46228753,submitted,1,7163.08,,,,,,,1,1
46228754,submitted,0.25,7163.2,,,,,,,1,1
46228755,submitted,2.7,7163.58,,,,,,,1,1
46228756,submitted,1,7164.7,,,,,,,1,1
46228757,submitted,5.2135,7165.5,,,,,,,1,1
46228758,submitted,1,7166.06,,,,,,,1,1
46228759,submitted,0.3,7166.1,,,,,,,1,1
46228760,submitted,0.855,7168.67,,,,,,,1,1
46228761,submitted,3.1,7169.42,,,,,,,1,1
46228762,submitted,0.3,7170.35,,,,,,,1,1
46228763,submitted,0.867,7170.87,,,,,,,1,1
46228764,submitted,0.16251028,7171.84,,,,,,,1,1
46228765,submitted,5.72,7173.06,,,,,,,1,1
46228766,submitted,2.5,7175.32,,,,,,,1,1
46228767,submitted,0.3,7176.35,,,,,,,1,1
46228768,submitted,4.16,7177.06,,,,,,,1,1
46228769,submitted,11.74,7178.66,,,,,,,1,1
46228770,submitted,4.802401474,7180,,,,,,,1,1
46228771,submitted,0.3,7180.35,,,,,,,1,1
46228772,submitted,4.17,7181.02,,,,,,,1,1
46228773,submitted,0.24762112,7181.81,,,,,,,1,1
46228774,submitted,0.74,7182.1,,,,,,,1,1
46228775,submitted,9.39,7183.87,,,,,,,1,1
46228776,submitted,5,7185,,,,,,,1,1
46228777,submitted,0.3,7185.05,,,,,,,1,1
46228778,submitted,0.098,7187.27,,,,,,,1,1
46228779,submitted,0.3,7189.05,,,,,,,1,1
46228780,submitted,5,7190,,,,,,,1,1
46228781,submitted,9.2938,7191.05,,,,,,,1,1
46228782,submitted,0.2616188,7191.31,,,,,,,1,1
46228783,submitted,0.3,7193.05,,,,,,,1,1
46228784,submitted,0.00488532,7194.44,,,,,,,1,1
46228785,submitted,7.66054311,7195,,,,,,,1,1
46228786,submitted,0.71,7195.05,,,,,,,1,1
46228787,submitted,0.24,7195.73,,,,,,,1,1
46228788,submitted,0.3,7197.05,,,,,,,1,1
46228789,submitted,8.6,7198.71,,,,,,,1,1
46228790,submitted,0.366823867,7199.21,,,,,,,1,1
46228791,submitted,0.05,7199.4,,,,,,,1,1
46228792,submitted,5,7200,,,,,,,1,1
46228793,submitted,0.15952709,7201.49,,,,,,,1,1
46228794,submitted,1.402,7205.02,,,,,,,1,1
46228795,submitted,0.05,7207.2,,,,,,,1,1
46228796,submitted,2.41,7207.38,,,,,,,1,1
46228797,submitted,11.8587,7208.29,,,,,,,1,1
46228798,submitted,0.15882836,7211.55,,,,,,,1,1
46228799,submitted,23.97,7220.62,,,,,,,1,1
46228800,submitted,2.696,7233.99,,,,,,,1,1
46228801,submitted,0.00488532,7241.93,,,,,,,1,1
46228802,submitted,0.05,7243.2,,,,,,,1,1
46228803,submitted,0.025,7263,,,,,,,1,1
46228804,submitted,8.951,7266.38,,,,,,,1,1
46228805,submitted,0.02746091,7283.08,,,,,,,1,1
46228806,submitted,0.00488532,7289.42,,,,,,,1,1
46228807,submitted,0.00007332,7295.44,,,,,,,1,1
46228808,submitted,0.00007332,7298,,,,,,,1,1
46228809,submitted,4.412,7298.77,,,,,,,1,1
46228810,submitted,6.45088164,7300,,,,,,,1,1
46228811,submitted,0.00342464,7300.04,,,,,,,1,1
46228812,submitted,0.00007332,7300.57,,,,,,,1,1
46228813,submitted,0.00007332,7303.13,,,,,,,1,1
46228814,submitted,0.004442,7303.48,,,,,,,1,1
46228815,submitted,0.71781,7304.89,,,,,,,1,1
46228816,submitted,0.00007332,7305.69,,,,,,,1,1
46228817,submitted,0.051223,7307.68,,,,,,,1,1
46228818,submitted,0.00007332,7308.25,,,,,,,1,1
46228819,submitted,0.00007332,7310.82,,,,,,,1,1
46228820,submitted,0.00007332,7313.38,,,,,,,1,1
46228821,submitted,0.00007332,7315.94,,,,,,,1,1
46228822,submitted,0.00007332,7318.5,,,,,,,1,1
46228823,submitted,0.71781,7319.44,,,,,,,1,1
46228824,submitted,0.00007332,7321.07,,,,,,,1,1
46228825,submitted,0.00007332,7323.63,,,,,,,1,1
46228826,submitted,0.00007332,7326.19,,,,,,,1,1
46228827,submitted,0.00007332,7328.75,,,,,,,1,1
46228828,submitted,14.097,7331.16,,,,,,,1,1
46228829,submitted,0.00007332,7331.32,,,,,,,1,1
46228830,submitted,0.00007332,7333.88,,,,,,,1,1
46228831,submitted,0.00007332,7336.44,,,,,,,1,1
46228832,submitted,0.00488532,7336.9,,,,,,,1,1
46228833,submitted,4.7,7337.29,,,,,,,1,1
46228834,submitted,0.00007332,7339,,,,,,,1,1
46228835,submitted,0.00007332,7341.57,,,,,,,1,1
46228836,submitted,0.4155,7344,,,,,,,1,1
46228837,submitted,0.00007332,7344.13,,,,,,,1,1
46228838,submitted,0.00007332,7346.69,,,,,,,1,1
46228839,submitted,0.71781,7348.55,,,,,,,1,1
46228840,submitted,0.00007332,7349.25,,,,,,,1,1
46228841,submitted,0.32263196,7350,,,,,,,1,1
46228842,submitted,0.00007332,7351.82,,,,,,,1,1
46228843,submitted,0.00007332,7354.38,,,,,,,1,1
46228844,submitted,0.00007332,7356.94,,,,,,,1,1
46228845,submitted,0.00007332,7359.5,,,,,,,1,1
46228846,submitted,0.00007332,7362.07,,,,,,,1,1
46228847,submitted,0.00007332,7364.63,,,,,,,1,1
46228848,submitted,0.00007332,7367.19,,,,,,,1,1
46228948,submitted,0.053075,7070,,,,,,,0,1
46228947,submitted,0.00161849,7071.87,,,,,,,0,1
46228946,submitted,0.000075,7072.5,,,,,,,0,1
46228945,submitted,0.15,7073.54,,,,,,,0,1
46228944,submitted,0.00140923,7074.74,,,,,,,0,1
46228943,submitted,0.0125,7074.8,,,,,,,0,1
46228942,submitted,0.250075,7075,,,,,,,0,1
46228941,submitted,0.006,7077,,,,,,,0,1
46228940,submitted,0.000075,7077.5,,,,,,,0,1
46228939,submitted,0.00070633,7078.78,,,,,,,0,1
46228938,submitted,0.116075,7080,,,,,,,0,1
46228937,submitted,0.000075,7082.5,,,,,,,0,1
46228936,submitted,0.00341064,7083.49,,,,,,,0,1
46228935,submitted,0.05646527,7084,,,,,,,0,1
46228934,submitted,0.000075,7085,,,,,,,0,1
46228933,submitted,0.00161345,7085.18,,,,,,,0,1
46228932,submitted,0.000075,7087.5,,,,,,,0,1
46228931,submitted,5,7088,,,,,,,0,1
46228930,submitted,0.1,7088.07,,,,,,,0,1
46228929,submitted,0.000075,7090,,,,,,,0,1
46228928,submitted,0.00352608,7090.01,,,,,,,0,1
46228927,submitted,0.000075,7092.5,,,,,,,0,1
46228926,submitted,0.00057654,7093.98,,,,,,,0,1
